name,address,lattitude,longitude
Print Collection,Fifth Avenue and 42nd Street,40.7534887,-73.9808774
Rare Book Division,Fifth Avenue and 42nd Street,40.7534887,-73.9808774
Richmondtown Library,200 Clarke Avenue,40.5668,-74.1381
Riverdale Library,5540 Mosholu Avenue,40.9029,-73.9037
Riverside Library,127 Amsterdam Avenue,40.7743,-73.9844
Roosevelt Island Library,504 Main Street,40.7609,-73.9506
Schomburg Center for Research in Black Culture,515 Malcolm X Boulevard (135th St and Malcolm X Blvd),40.8144,-73.941
Sedgwick Library,"1701 Martin Luther King, Jr. Blvd.",40.8496,-73.9184
Seward Park Library,192 East Broadway,40.7144,-73.9884
Soundview Library,660 Soundview Avenue,40.8182,-73.8625
South Beach Library,21-25 Robin Road,40.5959,-74.0631
Spencer Collection,Fifth Avenue and 42nd Street,40.7534887,-73.9808774
Spuyten Duyvil Library,650 W. 235th St.,40.8863,-73.9144
St. Agnes Library,444 Amsterdam Avenue (between West 81st and West 82nd Streets) ,40.7848,-73.9773
St. George Library Center,5 Central Avenue,40.6419,-74.0768
Stapleton Library,132 Canal St. ,40.6263,-74.0779
Stavros Niarchos Foundation Library (SNFL),455 Fifth Avenue,40.752,-73.9818
Stephen A. Schwarzman Building,Fifth Avenue and 42nd Street,40.7534887,-73.9808774
Teen Center,455 Fifth Avenue,40.752,-73.9818
Terence Cardinal Cooke-Cathedral Library,560 Lexington Avenue,40.7568,-73.9725
"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs",Fifth Avenue and 42nd Street,40.7534887,-73.9808774
The New York Public Library for the Performing Arts,40 Lincoln Center Plaza (entrance at 111 Amsterdam between 64th and 65th),40.7731593,-73.9871336
The Rodgers and Hammerstein Archives of Recorded Sound,40 Lincoln Center Plaza (entrance at 111 Amsterdam between 64th and 65th),40.7731593,-73.9871336
Theatre on Film and Tape Archive,40 Lincoln Center Plaza (entrance at 111 Amsterdam between 64th and 65th),40.7731593,-73.9871336
Thomas Yoseloff Business Center,455 Fifth Avenue,40.752,-73.9818
Throg's Neck Library,3025 Cross Bronx Expressway,40.8219,-73.8188
Todt Hill-Westerleigh Library,2550 Victory Boulevard,40.6098,-74.148
Tompkins Square Library,331 East 10th Street,40.7273,-73.9806
Tottenville Library,7430 Amboy Road,40.5098,-74.244
Tremont Library,1866 Washington Avenue,40.8461,-73.8984
"Van Cortlandt Library, Arline Schwarzman Building",3882 Cannon Place,40.8836,-73.8945
Wakefield Library,4100 Lowerre Place,40.8912,-73.8596
Washington Heights Library,1000 St. Nicholas Avenue,40.8346,-73.9399
Webster Library,1465 York Avenue,40.7707,-73.9512
West Farms Library,2085 Honeywell Avenue,40.8448,-73.8828
West New Brighton Library,976 Castleton Avenue,40.6346,-74.1152
Westchester Square Library,2521 Glebe Avenue,40.8407,-73.8469
Woodlawn Heights Library,4355 Katonah Avenue,40.9005,-73.8679
Woodstock Library,761 East 160th Street,40.8205,-73.9046
Yorkville Library,222 East 79th Street,40.774,-73.9569
